ID,EVALUATION_RATING,REPORTS_TO,FEEDBACK_COMMENT,SATISFACTION_INDEX
100662,3,100003,My bosses do not listen to me on our vision of the future,4.5
100663,3.8,100014,My peers do not communicate about generating revenue,4
100664,3.9,100001,My bosses do not listen to me on our strategy,3.6
100665,3,100002,My bosses do not support generating revenue,4.5
100666,4.1,100004,My peers do not support generating revenue,4
100667,3.5,100003,My bosses do not support our strategy,4.7
100668,4.1,100007,My bosses do not support providing better service,4.7
100669,4.6,100010,My peers do not support our strategy,3.3
100670,4.8,100012,My bosses  communicate about providing better service,4.6
100671,4.8,100002,My bosses  provide guidance about generating revenue,4
100672,4.2,100008,My peers  listen to me on our strategy,4.2
100673,3.6,100002,My peers do not provide guidance about generating revenue,3.1
100674,4.6,100013,My peers  provide guidance about providing better service,3.2
100675,4.2,100011,My bosses  listen to me on providing better service,4.1
100676,4.5,100010,My peers  provide guidance about generating revenue,3.4
100677,4.2,100012,My bosses do not listen to me on generating revenue,3.2
100678,3.3,100004,My peers do not provide guidance about our strategy,4
100679,3,100014,My bosses do not listen to me on our strategy,3.8
100680,3.4,100011,My bosses  communicate about generating revenue,3.2
100681,3,100008,My peers  provide guidance about our strategy,4.4
100682,4.7,100005,My bosses  support our strategy,4.3
100683,4.7,100006,My bosses  communicate about our vision of the future,3.3
100684,3.9,100011,My peers do not communicate about our strategy,4
100685,3.4,100001,My peers  listen to me on generating revenue,3.9
100686,3.6,100010,My peers  support providing better service,4.7
100687,3,100003,My peers  support generating revenue,4.5
100688,3.8,100009,My bosses  support generating revenue,3.7
100689,4.7,100011,My bosses  support generating revenue,3.3
100690,3.2,100014,My peers  listen to me on our strategy,4
100691,4.8,100002,My peers do not communicate about providing better service,3
100692,3.2,100005,My bosses do not support our vision of the future,3.5
100693,3,100003,My bosses  listen to me on our vision of the future,4.8
100694,3.4,100009,My peers do not support our strategy,3.7
100695,3.9,100005,My bosses  listen to me on our strategy,3.8
100696,3.4,100003,My peers  communicate about our vision of the future,4.3
100697,3.5,100012,My bosses do not communicate about our strategy,3.2
100698,4.3,100006,My bosses  communicate about our vision of the future,4
100699,3.1,100002,My peers  listen to me on our vision of the future,4.5
100700,3.1,100010,My bosses do not communicate about providing better service,4.3
100701,4,100009,My peers  support our vision of the future,3.3
100702,4.2,100004,My bosses  support providing better service,4.3
100703,4.6,100009,My peers  communicate about generating revenue,3.9
100704,4.2,100002,My peers do not support generating revenue,3.1
100705,3.8,100007,My peers  support generating revenue,4.6
100706,3.9,100006,My peers  support providing better service,3.4
100707,4.9,100001,My bosses do not provide guidance about our strategy,3.1
100708,4.4,100005,My peers do not listen to me on providing better service,4.3
100709,4.2,100003,My bosses do not support generating revenue,4.8
100710,4.4,100012,My peers  support our vision of the future,4.9
100711,3.6,100010,My peers  support our vision of the future,4.6
100712,3,100008,My peers  support our vision of the future,3.1
100713,4.5,100004,My peers do not support our strategy,4
100714,3.6,100007,My bosses do not listen to me on generating revenue,3.9
100715,3,100009,My peers  communicate about our strategy,4
100716,4.8,100012,My peers  communicate about generating revenue,3.3
100717,3.3,100006,My bosses do not communicate about our vision of the future,4.7
100718,4.1,100014,My peers do not support generating revenue,4.9
100719,3.3,100010,My bosses do not listen to me on our vision of the future,4.8
100720,4.4,100008,My peers  communicate about generating revenue,4.4
100721,3.8,100007,My bosses  support providing better service,3.6
100722,4.6,100002,My bosses do not listen to me on generating revenue,4.5
100723,3.1,100006,My bosses do not listen to me on our strategy,3.9
100724,3.3,100001,My peers  listen to me on our vision of the future,4.5
100725,4.6,100002,My peers  listen to me on providing better service,3.8
100726,4.2,100014,My peers  support providing better service,4.5
100727,3.7,100002,My peers do not support our strategy,4
100728,3.1,100002,My peers  support our strategy,3.7
100729,3.2,100014,My bosses  support our vision of the future,3.2
100730,3.5,100005,My bosses  provide guidance about generating revenue,4.7
100731,4.7,100005,My peers  communicate about our vision of the future,3.1
100732,4.7,100004,My peers do not provide guidance about our vision of the future,4.8
100733,3.2,100014,My bosses  communicate about our strategy,4.5
100734,3.9,100012,My bosses do not support our vision of the future,3.4
100735,4,100010,My peers  communicate about our vision of the future,3.9
100736,3.6,100008,My peers do not communicate about providing better service,4.1
100737,4,100013,My peers do not listen to me on our strategy,3
100738,4.6,100013,My peers  support our vision of the future,3.1
100739,4.2,100010,My bosses do not support our strategy,3.3
100740,3,100007,My peers do not provide guidance about our vision of the future,4.3
100741,3.8,100011,My peers do not provide guidance about providing better service,3.7
100742,4.6,100008,My peers  support providing better service,3.7
100743,4.2,100003,My peers do not provide guidance about providing better service,3.4
100744,4.2,100004,My bosses do not provide guidance about generating revenue,3.6
100745,3,100005,My bosses do not listen to me on our strategy,4.8
100746,3.4,100002,My peers  provide guidance about our vision of the future,4.4
100747,4.2,100009,My peers  provide guidance about our vision of the future,4.2
100748,3,100007,My peers do not communicate about our strategy,4.4
100749,4.9,100012,My peers do not communicate about generating revenue,3.5
100750,3.5,100011,My bosses  communicate about our strategy,3.8
100751,3.4,100006,My peers do not communicate about our vision of the future,3
100752,4.7,100001,My peers do not support our strategy,3.7
100753,4.9,100004,My bosses do not listen to me on our strategy,3.2
100754,3.7,100008,My peers  provide guidance about our strategy,4.6
100755,4.5,100014,My bosses do not listen to me on our strategy,3.5
100756,4.9,100002,My peers do not support our strategy,4.3
100757,4.1,100013,My bosses  listen to me on our vision of the future,4.2
100758,3.4,100003,My peers  listen to me on generating revenue,3.1
100759,3.1,100004,My peers  provide guidance about our strategy,4.1
100760,4.8,100008,My bosses do not provide guidance about providing better service,3.3
100761,3.4,100005,My bosses  communicate about providing better service,3.7
100762,3.1,100009,My bosses  provide guidance about our vision of the future,3.8
100763,4.4,100004,My peers do not provide guidance about our vision of the future,4.6
100764,4.5,100011,My bosses  provide guidance about generating revenue,4
100765,3.3,100008,My bosses do not support our vision of the future,3.8
100766,3.2,100006,My bosses do not communicate about our strategy,4.7
100767,4.4,100012,My bosses do not support our vision of the future,3.3
100768,4.7,100010,My bosses  support providing better service,3
100769,4.9,100006,My bosses  communicate about our vision of the future,4
100770,3.4,100008,My bosses  support providing better service,3.9
100771,3.3,100001,My peers do not provide guidance about providing better service,3.8
100772,3.3,100007,My peers  support our vision of the future,3.4
100773,4,100013,My bosses do not communicate about our strategy,4.5
100774,4.6,100001,My bosses  provide guidance about providing better service,4.4
100775,3.8,100003,My bosses  provide guidance about our vision of the future,4.1
100776,4.7,100006,My peers do not support providing better service,4.5
100777,4,100008,My bosses  communicate about our vision of the future,4.4
100778,4.4,100003,My bosses do not communicate about generating revenue,3.8
100779,3.2,100003,My peers  provide guidance about our vision of the future,3.1
100780,3.7,100013,My bosses do not support our strategy,3.3
100781,3.7,100014,My bosses do not listen to me on our strategy,3.5
100782,3.9,100012,My bosses  listen to me on providing better service,4
100783,3.2,100007,My bosses do not support generating revenue,4.8
100784,3,100006,My peers  provide guidance about our vision of the future,4.2
100785,3.3,100011,My peers do not provide guidance about providing better service,4
100786,4.6,100005,My bosses do not listen to me on generating revenue,4.3
100787,3.3,100014,My peers do not support our vision of the future,3.7
100788,3.4,100013,My peers  communicate about generating revenue,4.2
100789,3.1,100002,My peers do not communicate about our vision of the future,3.8
100790,3.7,100001,My bosses do not communicate about generating revenue,4.1
100791,3.3,100010,My bosses do not communicate about our vision of the future,4.7
100792,4.9,100008,My bosses do not provide guidance about providing better service,4.1
100793,4.2,100013,My peers  provide guidance about our strategy,4.8
100794,3.9,100005,My peers  communicate about our vision of the future,4.5
100795,4.1,100005,My peers  listen to me on providing better service,4.7
100796,3.4,100002,My bosses  listen to me on generating revenue,4.4
100797,4.4,100009,My peers  provide guidance about providing better service,3.4
100798,3,100006,My bosses  communicate about providing better service,3.1
100799,4.2,100001,My bosses  support our vision of the future,3.2
100800,4.3,100002,My peers  support our strategy,4.8
100801,4.7,100006,My bosses  listen to me on providing better service,4.9
100802,4.9,100003,My bosses  support our strategy,4.6
100803,4.5,100002,My peers do not provide guidance about our strategy,3.5
100804,4.4,100002,My peers  listen to me on our vision of the future,3.3
100805,3.1,100013,My peers  provide guidance about generating revenue,4.4
100806,4.3,100003,My bosses do not communicate about our vision of the future,4.4
100807,4.8,100012,My peers  support providing better service,4.8
100808,3.5,100012,My peers  support providing better service,3.8
100809,4.8,100005,My peers do not communicate about our vision of the future,4.4
100810,4.2,100001,My bosses  communicate about our vision of the future,3.3
100811,4.4,100008,My peers do not communicate about generating revenue,3.4
100812,4.7,100001,My peers  listen to me on providing better service,3.2
100813,3.8,100003,My bosses  communicate about our strategy,4.2
100814,4.3,100005,My peers  provide guidance about providing better service,3.5
100815,4.5,100003,My bosses  listen to me on our vision of the future,4.5
100816,4.3,100001,My peers do not communicate about generating revenue,4.5
100817,3.5,100005,My bosses do not communicate about providing better service,3.5
100818,3.4,100003,My bosses do not provide guidance about our vision of the future,3
100819,4.2,100011,My peers do not provide guidance about our strategy,3
100820,4.6,100001,My peers do not communicate about generating revenue,3.5
100821,3.2,100012,My peers do not support generating revenue,3.7
100822,3.8,100014,My peers  support generating revenue,4.7
100823,3.3,100012,My bosses do not communicate about providing better service,4.8
100824,3.1,100002,My bosses do not provide guidance about our vision of the future,3.4
100825,4.1,100006,My peers do not listen to me on our vision of the future,4.2
100826,3.4,100007,My bosses do not support providing better service,4.7
100827,3.5,100007,My peers  support providing better service,4.7
100828,3.3,100010,My bosses do not communicate about our vision of the future,3.5
100829,3.7,100009,My peers  communicate about generating revenue,3.4
100830,3.6,100013,My peers  listen to me on generating revenue,4.8
100831,4.3,100002,My peers do not support generating revenue,4.9
100832,4,100010,My bosses do not communicate about providing better service,4.5
100833,3.3,100010,My peers do not support our vision of the future,4.2
100834,4.2,100009,My bosses  support our vision of the future,4
100835,4.5,100007,My bosses do not communicate about our vision of the future,3.9
100836,3.6,100011,My peers  communicate about generating revenue,3.9
100837,4.6,100001,My peers  listen to me on our vision of the future,3
100838,3.6,100002,My bosses  communicate about generating revenue,3.2
100839,4.6,100009,My peers do not provide guidance about providing better service,3.4
100840,3.3,100002,My bosses do not provide guidance about providing better service,4.9
100841,4.4,100012,My peers do not provide guidance about our vision of the future,4.3
100842,4.3,100012,My bosses  provide guidance about our strategy,3.7
100843,4.2,100011,My peers do not listen to me on generating revenue,4.5
100844,4.3,100008,My bosses do not listen to me on our strategy,4.5
100845,4.9,100001,My bosses  communicate about providing better service,4.2
100846,4.2,100008,My bosses  provide guidance about generating revenue,4.7
100847,3.8,100013,My peers do not support our strategy,3.9
100848,3.5,100001,My bosses do not provide guidance about generating revenue,3
100849,3,100002,My bosses  listen to me on generating revenue,3.2
100850,4.3,100011,My peers  provide guidance about providing better service,4.6
100851,3.1,100003,My peers  provide guidance about our vision of the future,3.6
100852,4.4,100009,My peers  provide guidance about providing better service,3.2
100853,3.3,100001,My peers  support our vision of the future,3.8
100854,4.7,100007,My bosses do not support our vision of the future,4.4
100855,4.5,100010,My bosses  communicate about providing better service,4.7
100856,4.3,100012,My peers  provide guidance about providing better service,3.4
100857,4.1,100003,My peers do not support providing better service,3.4
100858,3,100005,My bosses  communicate about our strategy,4.6
100859,3.7,100012,My peers do not support our strategy,3.3
100860,3.3,100014,My peers do not provide guidance about our vision of the future,4.2
100861,4.8,100001,My peers  listen to me on generating revenue,4.9
100862,4.1,100014,My peers  provide guidance about providing better service,4.8
100863,4.4,100004,My bosses  provide guidance about providing better service,3.9
100864,4.3,100010,My bosses  support generating revenue,3.5
100865,3.7,100010,My bosses  communicate about our vision of the future,3.9
100866,4.2,100008,My peers do not communicate about providing better service,4.8
100867,4.2,100002,My bosses  provide guidance about our vision of the future,3.7
100868,3.6,100007,My peers do not communicate about our strategy,3.8
100869,4.6,100014,My bosses do not communicate about our vision of the future,4.3
100870,3.7,100003,My bosses do not listen to me on providing better service,4.5
100871,3.2,100007,My bosses  provide guidance about our strategy,3.1
100872,4.7,100001,My bosses do not listen to me on providing better service,3.2
100873,4.4,100011,My bosses  communicate about our vision of the future,4.4
100874,4,100007,My peers do not provide guidance about providing better service,4.5
100875,4.8,100008,My peers  support our vision of the future,4.4
100876,3,100003,My peers do not communicate about providing better service,4.8
100877,3.2,100003,My peers do not provide guidance about providing better service,4.2
100878,3.2,100012,My peers  communicate about our vision of the future,4.3
100879,3.8,100001,My bosses  communicate about our vision of the future,4.6
100880,3.2,100011,My bosses do not support providing better service,3.6
100881,4.9,100004,My peers do not communicate about providing better service,3.1
100882,3.6,100006,My peers do not listen to me on generating revenue,3.7
100883,3.6,100013,My bosses do not communicate about our strategy,4.3
100884,4.4,100001,My peers do not provide guidance about our vision of the future,3.8
100885,4.6,100005,My peers do not support providing better service,3.3
100886,4,100011,My peers  communicate about our vision of the future,3.7
100887,3.9,100011,My bosses do not communicate about our strategy,4.9
100888,3.1,100008,My peers  support our vision of the future,3.6
100889,4.8,100004,My peers do not listen to me on generating revenue,4
100890,3.3,100004,My peers  support our strategy,3.2
100891,4,100004,My bosses  provide guidance about providing better service,4.3
100892,3.5,100011,My peers  listen to me on providing better service,4.9
100893,3.7,100002,My peers do not provide guidance about our vision of the future,3.8
100894,3.1,100001,My peers do not listen to me on our vision of the future,3.1
100895,4.5,100009,My peers do not provide guidance about providing better service,4.3
100896,4,100002,My peers do not support our vision of the future,4.5
100897,3.5,100004,My bosses  listen to me on our vision of the future,4.6
100898,3.7,100003,My peers  provide guidance about providing better service,3.2
100899,4.8,100003,My peers do not communicate about generating revenue,3.7
100900,4.8,100004,My bosses do not support providing better service,3
100901,4.3,100002,My peers do not support our vision of the future,3.5
100902,4.8,100013,My bosses  support generating revenue,3.7
100903,4.2,100001,My bosses  provide guidance about generating revenue,3.4
100904,4.1,100013,My peers  provide guidance about providing better service,3.8
100905,3,100012,My bosses  support our strategy,4.7
100906,4.5,100001,My peers  communicate about providing better service,4.5
100907,4.4,100012,My bosses  listen to me on our vision of the future,4.3
100908,4.2,100003,My bosses do not support our strategy,4.9
100909,4.5,100003,My peers  communicate about generating revenue,3.6
100910,4.8,100003,My peers do not support generating revenue,3.4
100911,3.1,100014,My peers do not provide guidance about providing better service,3
100912,4.5,100012,My bosses  listen to me on generating revenue,4.4
100913,3.7,100005,My peers  communicate about generating revenue,4.7
100914,4.4,100003,My peers do not communicate about providing better service,3.4
100915,3,100010,My bosses  provide guidance about our strategy,3.6
100916,4.2,100014,My peers do not communicate about providing better service,4.7
100917,3.5,100004,My peers do not support generating revenue,3
100918,3,100010,My peers do not provide guidance about our strategy,4.6
100919,4,100009,My bosses  communicate about providing better service,4.7
100920,3.4,100012,My bosses do not provide guidance about generating revenue,3.1
100921,4.2,100012,My bosses do not provide guidance about providing better service,3.9
100922,3.7,100009,My bosses  listen to me on our strategy,4.9
100923,3.2,100001,My peers  communicate about our vision of the future,4.8
100924,4.7,100011,My bosses  communicate about our strategy,4.9
100925,4.5,100008,My bosses do not provide guidance about our vision of the future,4
100926,4.2,100004,My peers  communicate about providing better service,3.7
100927,4.1,100010,My peers do not support providing better service,4
100928,3.1,100002,My bosses do not support our vision of the future,4.8
100929,3.9,100005,My bosses do not listen to me on our strategy,4.1
100930,4.2,100007,My bosses do not support our strategy,4.6
100931,4,100006,My bosses  support providing better service,4.3
100932,4.2,100002,My peers  provide guidance about our vision of the future,4.8
100933,4.2,100004,My peers  provide guidance about our vision of the future,4.1
100934,4.6,100002,My peers  communicate about our vision of the future,4.7
100935,3.5,100009,My bosses  listen to me on providing better service,4.4
100936,4.8,100001,My bosses  provide guidance about our strategy,4.4
100937,4,100001,My peers  communicate about providing better service,3.1
100938,3.8,100013,My peers  listen to me on our strategy,3.1
100939,4.2,100004,My bosses do not support providing better service,4.4
100940,3.3,100001,My peers do not listen to me on our vision of the future,3.4
100941,3.8,100007,My peers do not provide guidance about providing better service,4.8
100942,4.4,100002,My peers do not provide guidance about generating revenue,4.9
100943,4.3,100006,My peers do not provide guidance about generating revenue,3.5
100944,3,100006,My bosses  listen to me on our strategy,3.3
100945,4.2,100004,My bosses do not communicate about our vision of the future,3.6
100946,3.5,100009,My bosses  communicate about generating revenue,4.1
100947,4.5,100011,My bosses do not listen to me on our strategy,4.5
100948,4.2,100001,My bosses do not provide guidance about our vision of the future,3.4
100949,4.5,100013,My peers do not listen to me on providing better service,4.3
100950,4.3,100006,My peers  communicate about generating revenue,4.1
100951,3.3,100012,My bosses  communicate about generating revenue,4.6
100952,3.2,100014,My bosses do not listen to me on our vision of the future,3.7
100953,4.5,100004,My peers  support our vision of the future,3.1
100954,3.1,100013,My bosses do not support generating revenue,3.2
100955,4.5,100010,My bosses do not provide guidance about our vision of the future,4.5
100956,4.9,100014,My bosses do not communicate about generating revenue,3.2
100957,4.1,100006,My peers  provide guidance about our vision of the future,3.8
100958,4.6,100010,My peers do not communicate about our vision of the future,3.5
100959,4.3,100001,My peers do not listen to me on generating revenue,4.3
100960,4.5,100011,My bosses do not support providing better service,4.5
100961,3.2,100002,My bosses do not listen to me on our strategy,4.9
100962,3.4,100013,My peers do not provide guidance about providing better service,3.2
100963,4,100002,My peers  listen to me on our strategy,4.4
100964,4.6,100002,My bosses  provide guidance about generating revenue,4
100965,4.6,100013,My bosses do not listen to me on our vision of the future,3.1
100966,3.6,100010,My peers do not communicate about providing better service,4.4
100967,3.9,100002,My peers do not support providing better service,3.6
100968,4.8,100007,My peers do not listen to me on our vision of the future,4.6
100969,4.9,100012,My bosses do not listen to me on our vision of the future,3.3
100970,4.5,100014,My bosses  provide guidance about our vision of the future,3.6
100971,3,100003,My bosses  listen to me on our vision of the future,4.7
100972,4.2,100011,My peers do not listen to me on providing better service,3.9
100973,4.6,100007,My bosses  provide guidance about our strategy,3
100974,3.2,100006,My bosses  communicate about our strategy,3.7
100975,4.2,100013,My peers do not provide guidance about generating revenue,4.9
100976,4.4,100006,My bosses do not provide guidance about generating revenue,3
100977,4.2,100007,My peers  provide guidance about providing better service,3.9
100978,3.6,100002,My bosses do not provide guidance about our strategy,4.3
100979,4.2,100006,My peers do not provide guidance about providing better service,4.3
100980,3.4,100012,My peers  listen to me on our strategy,3.5
100981,4.8,100008,My bosses do not listen to me on providing better service,3.9
100982,4.5,100006,My peers  provide guidance about our strategy,4.1
100983,4,100013,My bosses do not provide guidance about generating revenue,4.3
100984,3.8,100012,My peers do not communicate about our vision of the future,4.8
100985,3.4,100011,My bosses do not listen to me on our vision of the future,4.3
100986,4.7,100013,My bosses  communicate about providing better service,4.5
100987,4,100010,My bosses do not provide guidance about our vision of the future,4.6
100988,4.6,100010,My bosses  communicate about our vision of the future,4.4
100989,4.5,100012,My bosses  communicate about generating revenue,4.2
100990,4.4,100001,My peers do not communicate about our vision of the future,4.7
100991,4.2,100013,My peers  listen to me on our strategy,4.5
100992,3.4,100010,My bosses  support our vision of the future,4.1
100993,4.1,100013,My bosses do not listen to me on generating revenue,4.6
100994,4.3,100006,My peers  support our strategy,3.5
100995,4.8,100005,My bosses do not provide guidance about providing better service,3.2
100996,4.2,100001,My peers  communicate about generating revenue,4.8
100997,4.7,100009,My bosses  communicate about our vision of the future,4.8
100998,4.5,100012,My peers  support our vision of the future,3.2
100999,4,100014,My peers do not provide guidance about our strategy,4.7
101000,4.7,100012,My bosses do not communicate about providing better service,3.4
101001,3.3,100002,My peers  communicate about our vision of the future,3.9
101002,4.5,100001,My peers  communicate about generating revenue,3.1
101003,3.6,100010,My bosses  communicate about providing better service,3.6
101004,4.8,100007,My bosses  communicate about our vision of the future,4.2
101005,4.3,100012,My peers  provide guidance about providing better service,4.3
101006,4.4,100012,My peers  communicate about our strategy,4.9
101007,3.2,100011,My bosses  provide guidance about generating revenue,4.6
101008,4.7,100008,My bosses do not provide guidance about our vision of the future,4.2
101009,4.8,100004,My peers do not provide guidance about our vision of the future,4.8
101010,3.6,100005,My peers do not provide guidance about our vision of the future,3.1
101011,3,100004,My peers  support our vision of the future,4.6
101012,3.9,100008,My peers  provide guidance about providing better service,3.1
101013,4.4,100009,My bosses  provide guidance about providing better service,3.6
101014,4.2,100007,My bosses  support providing better service,3.3
101015,4.4,100011,My peers do not communicate about providing better service,3.3
101016,4.8,100007,My peers do not provide guidance about providing better service,4.6
101017,3.3,100003,My bosses  support our strategy,3.9
101018,3.3,100011,My bosses  support our strategy,3
101019,3.3,100014,My bosses do not communicate about providing better service,3
101020,3.8,100013,My peers  provide guidance about our strategy,4.8
101021,3.6,100001,My bosses  support our vision of the future,3.5
101022,4.1,100003,My bosses  support providing better service,4.7
101023,4.9,100007,My peers  listen to me on our vision of the future,3.4
101024,4.2,100013,My bosses do not support providing better service,3
101025,3.2,100003,My bosses  listen to me on providing better service,3.4
101026,3.7,100011,My peers do not communicate about our vision of the future,4.6
101027,4.4,100003,My bosses do not communicate about providing better service,4
101028,3.3,100007,My peers do not support providing better service,4.3
101029,4.7,100005,My peers  communicate about generating revenue,4.8
101030,4.2,100005,My peers  provide guidance about our vision of the future,3.8
101031,4.1,100008,My peers  support generating revenue,4.3
101032,4.6,100001,My peers do not provide guidance about our vision of the future,3.1
101033,4.8,100004,My peers  support generating revenue,3.7
101034,3.4,100004,My peers  listen to me on our vision of the future,4.1
101035,3.4,100006,My peers do not support providing better service,4.3
101036,3.5,100011,My peers do not communicate about generating revenue,4.5
101037,3.1,100011,My peers do not provide guidance about our strategy,3.4
101038,3.2,100002,My peers do not listen to me on our strategy,4.2
101039,4.1,100007,My peers  provide guidance about generating revenue,4.6
101040,3.1,100001,My bosses do not communicate about providing better service,4.9
101041,3.3,100001,My peers  listen to me on our strategy,4.4
101042,4.5,100012,My peers  communicate about generating revenue,3.9
101043,4.4,100003,My peers  provide guidance about providing better service,3.7
101044,4.1,100004,My peers  support our strategy,4.4
101045,3.6,100006,My bosses do not provide guidance about our strategy,3.7
101046,4.4,100013,My peers  communicate about our strategy,4.9
101047,3.8,100013,My peers do not communicate about generating revenue,4.9
101048,3.9,100012,My peers  provide guidance about our strategy,4.5
101049,3,100008,My peers  support our strategy,4.1
101050,4.6,100014,My peers do not provide guidance about generating revenue,4
101051,3.1,100007,My peers  support our vision of the future,4
101052,3.8,100007,My bosses  communicate about providing better service,3.9
101053,4.7,100013,My bosses do not provide guidance about our strategy,4
101054,3.4,100005,My peers do not listen to me on generating revenue,3.6
101055,3.8,100004,My peers do not provide guidance about our strategy,3.3
101056,4.1,100011,My peers do not communicate about our vision of the future,3.6
101057,4.9,100014,My peers do not provide guidance about providing better service,3.3
101058,4.3,100006,My bosses  communicate about our vision of the future,3.8
101059,3.3,100001,My bosses  listen to me on providing better service,3.3
101060,3.5,100012,My bosses do not listen to me on our vision of the future,4.4
101061,3.5,100008,My bosses  communicate about our strategy,3.6
101062,4.8,100011,My bosses do not provide guidance about generating revenue,4.4
101063,3.7,100003,My peers do not communicate about our strategy,3.5
101064,3.1,100013,My peers do not provide guidance about our strategy,4.3
101065,3.4,100001,My peers  communicate about our vision of the future,4.5
101066,4,100010,My bosses do not provide guidance about generating revenue,4.8
101067,4.2,100002,My peers  listen to me on generating revenue,3
101068,3.9,100006,My bosses  listen to me on our vision of the future,3.1
101069,4.4,100013,My bosses  communicate about providing better service,3.5
101070,3,100006,My peers  communicate about providing better service,3.4
101071,4.8,100008,My peers  listen to me on generating revenue,4.1
101072,4.4,100004,My peers do not support providing better service,3.6
101073,4.8,100009,My bosses do not support our strategy,3.7
101074,4.4,100006,My bosses do not support our strategy,3.1
101075,3,100002,My peers do not support providing better service,3
101076,4.2,100011,My bosses  communicate about generating revenue,4.3
101077,3.2,100007,My peers  communicate about our vision of the future,4.7
101078,4.9,100005,My bosses do not listen to me on our vision of the future,3
101079,3.5,100013,My bosses do not provide guidance about our vision of the future,3.4
101080,3.4,100002,My bosses  communicate about our vision of the future,4.6
101081,4.7,100006,My peers  support generating revenue,3.3
101082,4.6,100006,My bosses do not listen to me on providing better service,4
101083,3.1,100010,My peers  support our strategy,4.4
101084,4.7,100007,My peers do not communicate about providing better service,3
101085,3.7,100003,My peers  communicate about providing better service,3.4
101086,4.4,100006,My bosses do not listen to me on our vision of the future,4.9
101087,3.3,100004,My peers  provide guidance about our vision of the future,4.9
101088,4,100010,My bosses do not communicate about generating revenue,3.1
101089,4.2,100010,My bosses do not support our strategy,3.2
101090,3.5,100013,My bosses  communicate about our vision of the future,3
101091,3.5,100006,My bosses do not support generating revenue,3.1
101092,4,100005,My bosses do not listen to me on providing better service,3.3
101093,4.4,100014,My peers do not support our strategy,3.3
101094,4.9,100004,My peers  support our strategy,3
101095,4.8,100008,My bosses  listen to me on providing better service,4.2
101096,4.9,100002,My peers  provide guidance about our vision of the future,4.5
101097,4.3,100001,My bosses  support our strategy,3.6
101098,3,100003,My peers  provide guidance about our vision of the future,3.5
101099,3.5,100011,My peers  support providing better service,3.3
101100,3,100004,My peers do not provide guidance about our vision of the future,3.7
101101,3.1,100004,My peers do not listen to me on providing better service,3.9
101102,3,100003,My peers  provide guidance about our strategy,3.9
101103,4.8,100005,My bosses do not communicate about our vision of the future,4
101104,4.4,100001,My peers do not provide guidance about providing better service,3.3
101105,4.2,100008,My peers do not provide guidance about our vision of the future,4.2
101106,4.9,100010,My bosses  communicate about our strategy,3.1
101107,3.3,100006,My peers  provide guidance about generating revenue,3.7
101108,3.7,100009,My peers do not communicate about providing better service,4.2
101109,3.4,100005,My bosses do not communicate about generating revenue,3.7
101110,4.3,100013,My peers do not listen to me on our vision of the future,3.4
101111,3.5,100014,My peers do not support generating revenue,3.2
101112,4.7,100012,My peers  provide guidance about providing better service,4.9
101113,4.8,100006,My peers do not support our strategy,4.9
101114,4.1,100014,My peers do not listen to me on generating revenue,4.8
101115,3.1,100014,My peers do not provide guidance about our vision of the future,4.7
101116,3.4,100009,My peers  provide guidance about providing better service,3.7
101117,3.3,100012,My bosses  provide guidance about our vision of the future,4.7
101118,4.3,100003,My peers  support our strategy,4.8
101119,4.7,100009,My bosses  communicate about providing better service,3.6
101120,3.2,100002,My peers  support our strategy,4.3
101121,3.3,100003,My peers  provide guidance about providing better service,4.2
101122,3.8,100012,My bosses  communicate about providing better service,3.1
101123,4.7,100003,My peers do not communicate about providing better service,4
101124,4.3,100003,My peers  provide guidance about providing better service,4
101125,3.3,100011,My peers  support our strategy,3.3
101126,3.4,100001,My bosses  communicate about generating revenue,3.4
101127,3.4,100003,My peers do not provide guidance about generating revenue,3.8
101128,3.7,100009,My bosses do not support our strategy,4.5
101129,4.1,100003,My peers do not listen to me on providing better service,3.9
101130,3.4,100014,My peers do not provide guidance about our vision of the future,3.8
101131,4,100014,My peers do not communicate about providing better service,4.4
101132,4.7,100004,My bosses  support our strategy,3
101133,3.9,100011,My bosses do not support our vision of the future,4
101134,3.7,100013,My peers  provide guidance about our strategy,3.1
101135,4.7,100008,My peers  provide guidance about providing better service,4.2
101136,4.2,100003,My bosses  provide guidance about our strategy,4.1
101137,4,100001,My bosses do not communicate about our vision of the future,3.1
101138,3.6,100007,My bosses  provide guidance about generating revenue,4
101139,3,100003,My bosses  listen to me on our strategy,3.7
101140,3.3,100005,My bosses do not provide guidance about generating revenue,4.7
101141,3.6,100008,My bosses do not support our strategy,4.5
101142,4.8,100001,My bosses do not communicate about providing better service,3.7
101143,3.7,100005,My bosses do not provide guidance about our strategy,4.7
101144,3.2,100012,My bosses do not provide guidance about our strategy,3.2
101145,4,100012,My peers do not listen to me on our strategy,3.1
101146,4.4,100007,My peers  communicate about providing better service,4.5
101147,4.8,100007,My peers do not support generating revenue,3.1
101148,3.3,100003,My peers  communicate about providing better service,3.8
101149,4.5,100014,My peers  communicate about generating revenue,4.2
101150,4.6,100004,My bosses  communicate about providing better service,4.8
101151,3.4,100003,My peers do not provide guidance about our vision of the future,3.1
101152,3.8,100006,My bosses do not support our vision of the future,3.2
101153,4.9,100012,My bosses do not listen to me on generating revenue,3.3
